"Evaporation","Sunshine","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","RainTomorrow","Month"
3.4,10.8,24,9,47,35,1021.6,1019.3,"0","September"
4,4.5,44,37,33,23,1016.8,1010.6,"0","October"
9,11.3,22,11,59,44,1014.5,1011.3,"0","October"
6,5,35,24,40,81,1011.4,1013.4,"1","October"
4,9.1,15,19,72,35,1017.9,1016.6,"0","October"
4.2,12,11,9,63,26,1017.8,1012.4,"0","October"
4.8,4.4,20,37,84,72,1010.4,1012.9,"1","October"
4.4,2.5,22,26,64,45,1020,1017.9,"0","October"
1.8,4.5,19,20,56,42,1022.5,1021.7,"0","October"
3.6,10.5,13,13,55,37,1027.5,1025.4,"0","October"
4.4,12,24,9,60,18,1028,1024.2,"0","October"
6.4,9.8,31,28,62,18,1025.1,1021.1,"0","October"
9.6,7.1,37,37,27,14,1019.4,1015.1,"0","October"
3.2,4.9,30,20,61,38,1015.9,1017.9,"0","October"
4.8,6.7,24,20,68,38,1023.5,1023.3,"0","October"
4.8,8.6,22,20,68,46,1026.1,1024.4,"0","October"
4.4,9.5,6,22,64,46,1025.8,1022.6,"0","October"
4.2,12,7,24,69,52,1023.4,1021.3,"1","October"
3.6,7,41,33,38,14,1019.6,1017.3,"0","October"
12,0.6,20,24,74,62,1021.7,1022.6,"0","October"
5,8.4,24,28,46,41,1026.8,1026.2,"0","October"
5.2,5.9,26,33,44,49,1028,1027.4,"1","October"
3.8,12.2,37,24,51,41,1030.9,1029.6,"0","October"
6,12.5,11,13,53,30,1029.4,1025.2,"0","October"
5.8,5.1,22,26,55,18,1021.4,1016.9,"0","October"
12,6.9,54,35,16,14,1012.5,1009.7,"0","October"
10.8,1.6,30,30,30,20,1010.8,1006.1,"0","October"
9.4,7.5,22,37,45,47,1010.2,1012.5,"1","October"
6.8,6.3,15,20,65,47,1023.1,1022.9,"0","October"
5,12.5,17,13,56,51,1024.3,1020.1,"0","October"
6,4.6,39,56,57,38,1013.9,1007.5,"0","October"
9.6,1.2,17,33,59,53,1009.8,1012.4,"0","October"
4.4,3.4,17,20,62,58,1024.8,1023.2,"0","November"
4.4,8.6,37,24,68,26,1018.2,1012.9,"1","November"
6.6,0.2,31,31,72,73,1014.2,1015.7,"1","November"
4,10.5,28,19,45,50,1021.8,1018.3,"0","November"
5.4,5.3,9,28,63,17,1012.8,1007.2,"0","November"
8,10.2,15,24,63,38,1010.4,1008.7,"0","November"
6.4,0,24,46,70,75,1008.1,1003.1,"1","November"
3.6,4,31,33,60,40,1005.3,1007.4,"0","November"
4.4,11.8,22,11,61,32,1019,1016.9,"0","November"
6.6,11.1,7,20,64,53,1023.2,1021.3,"0","November"
6,12.6,7,19,64,33,1020.4,1014.8,"0","November"
10,10.5,30,17,41,13,1015.3,1012,"0","November"
11.2,2.1,48,50,23,16,1008.8,1006.3,"1","November"
11.2,6.5,13,20,85,52,1012,1012,"0","November"
4.4,11.5,20,19,57,37,1016.6,1014.9,"0","November"
8.4,8.4,28,24,44,42,1021.7,1021.5,"0","November"
4.2,10,20,19,47,44,1020.8,1017.3,"0","November"
5.8,3.1,7,15,62,56,1014.2,1011.8,"0","November"
2.8,0.1,15,13,80,68,1011.4,1006.8,"1","November"
2.4,6,31,31,76,76,1001.9,1002.7,"0","November"
4.4,7.1,19,31,56,33,1002.3,996.5,"1","November"
6.4,6.1,41,35,78,50,996.9,998.1,"1","November"
4.6,5.4,37,33,74,60,1003.9,1004.1,"0","November"
5,4.7,26,24,65,57,1009.9,1010,"0","November"
4.4,13.3,7,11,63,37,1013.8,1011.2,"0","November"
7.4,11.4,7,22,59,27,1010.9,1006.4,"0","November"
11.2,6.4,48,35,47,36,1004.5,1000.9,"0","November"
7.2,1.3,4,19,75,63,1004.8,1004.4,"1","November"
3.4,3.7,26,24,69,50,1008.1,1008.5,"0","November"
3.6,9.7,13,26,59,24,1010.7,1005.5,"1","November"
7.2,10.1,24,31,52,32,1009,1007.8,"0","December"
6.8,7.5,30,17,44,29,1009.9,1007.2,"0","December"
5.6,6.7,22,26,62,48,1009.9,1012.2,"0","December"
5.8,5.8,9,24,52,27,1018.9,1012.7,"0","December"
6.8,13.4,30,31,41,21,1006.5,1003.4,"0","December"
4.8,9.1,11,30,54,42,1010,1005,"0","December"
7,11.2,26,11,53,38,1013.1,1013,"0","December"
8,11.9,13,24,61,41,1015.4,1011.5,"0","December"
5.6,0,13,20,72,85,1007.6,1008.1,"1","December"
1.2,10.3,28,30,57,42,1013.7,1012.8,"0","December"
6.4,13.2,19,24,58,54,1015.6,1012.3,"0","December"
8,0.3,24,15,68,82,1007.4,1003.7,"1","December"
4.8,0,17,48,96,93,988.9,993.6,"1","December"
6.6,7.3,31,35,90,61,1004.9,1007.3,"0","December"
5.8,5.7,24,13,54,41,1013,1012.1,"0","December"
4,2,6,9,66,67,1013.1,1012.3,"1","December"
2.2,1.2,13,4,82,51,1013.1,1009.9,"1","December"
3.8,4.3,9,26,85,61,1006.3,1005.7,"1","December"
4.2,10.2,20,35,60,40,1014.3,1016.4,"0","December"
4.6,13.1,15,22,60,53,1021.8,1019.7,"0","December"
6,10.8,22,26,67,25,1018.8,1014.1,"0","December"
8,7.5,48,41,36,22,1008.1,1003.4,"0","December"
9.8,7.9,28,24,73,54,1013.9,1014.1,"0","December"
5.4,13.8,19,13,56,49,1013.8,1012.2,"0","December"
6.4,13.5,9,22,63,49,1015.2,1013.5,"0","December"
7.8,9.9,22,17,58,43,1010.1,1008.5,"0","December"
6.4,9.4,20,20,58,64,1006.1,1003.3,"0","December"
6,10.5,9,22,52,41,1004.1,1002.1,"0","December"
8.6,9.8,20,30,50,40,1008.2,1008.3,"1","December"
6.2,8,24,35,88,31,1003.4,1002.4,"0","December"
9.4,8.4,22,17,55,32,1006.3,1005,"0","December"
5.6,8.8,33,43,68,39,1005.4,1006.5,"0","January"
7.2,12.9,31,26,56,39,1018.2,1019.6,"0","January"
6.2,10.5,13,19,54,45,1021.1,1018.1,"0","January"
6.4,12.5,2,20,67,37,1016.5,1013,"0","January"
7.4,12.3,9,20,56,34,1011.9,1010.5,"0","January"
7.2,13.7,11,28,45,40,1010.5,1007.9,"0","January"
8.8,4.4,17,28,89,66,1010,1010.5,"0","January"
5.2,11.5,28,35,57,42,1017.7,1019.2,"0","January"
5.6,12.6,19,28,47,41,1021.7,1017.8,"0","January"
7.2,10.2,7,24,67,60,1013.9,1010.5,"0","January"
6.6,10.2,9,17,89,58,1012.1,1010.2,"0","January"
5.2,7.8,11,17,75,53,1018.7,1017.7,"0","January"
6.8,13.5,35,22,61,12,1014,1009.8,"0","January"
8,12.3,35,24,14,64,1008,1009.5,"0","January"
9.2,10.1,28,22,52,42,1015.9,1014.8,"0","January"
8.6,9.9,28,28,48,40,1017.3,1019,"0","January"
8.8,12.1,28,26,45,47,1023,1023.1,"0","January"
6.6,13,7,20,60,51,1022,1019.3,"0","January"
7.8,13.4,28,22,52,20,1014,1009,"0","January"
7.6,12,37,37,33,36,1005.5,1006.4,"0","January"
6,10.9,9,24,66,50,1010.5,1006.9,"0","January"
8,7.6,41,46,57,12,998,993.9,"0","January"
7.6,12.3,9,24,54,15,1008.3,1002.7,"0","January"
8,11.4,30,30,52,48,1007.9,1011.8,"0","January"
8,13.3,7,24,58,21,1018.5,1016.7,"0","January"
7.2,12.7,13,26,65,52,1022.3,1020.8,"0","January"
7.6,12.3,7,26,71,47,1017.9,1014.1,"0","January"
12,13.4,24,15,30,10,1012.2,1008.9,"0","January"
10.8,10.3,39,26,17,10,1011.1,1009.2,"0","January"
11.8,12.8,15,22,35,9,1011.8,1008.6,"0","January"
8,10.8,7,26,53,60,1013.3,1014.2,"0","January"
7.6,7.1,11,11,68,41,1016.5,1012,"0","February"
6.6,2.7,7,26,77,63,1012.2,1010.3,"0","February"
4.2,8.4,15,28,75,40,1013.1,1010.3,"0","February"
7.2,11,4,17,76,46,1009.5,1006.2,"0","February"
8,13.1,11,24,58,60,1005.7,1008,"0","February"
8.8,8.5,11,19,75,50,1010.8,1007.3,"0","February"
10.8,8.5,54,39,23,6,1003.1,998.3,"0","February"
7,2.3,20,28,80,61,1012.5,1014.2,"0","February"
7.4,9,33,35,42,39,1016.9,1016.5,"0","February"
7.2,10,26,33,39,36,1017.4,1017,"0","February"
6.8,0.7,31,33,48,46,1019.3,1019.6,"0","February"
5.8,10.9,17,35,60,35,1021.5,1021,"0","February"
7.8,11.8,13,11,58,27,1025.8,1023.1,"0","February"
5.8,12.3,7,26,58,28,1023.3,1019.6,"0","February"
6.8,11.7,2,28,70,26,1018.9,1016.1,"0","February"
7.8,12.2,7,22,66,37,1019.6,1016.3,"0","February"
8.2,12,20,19,55,21,1016.9,1013.5,"0","February"
9.4,7.7,9,26,73,43,1012.9,1009.6,"0","February"
6.6,11.3,15,22,78,38,1009.1,1007.2,"0","February"
8,7.4,19,28,68,50,1012.9,1013.1,"0","February"
6.4,8.9,22,30,66,52,1017.6,1017.5,"0","February"
6.4,10.1,13,19,71,57,1017.8,1014.5,"0","February"
6.6,9,24,28,67,12,1010.5,1007.4,"0","February"
10.6,12.2,19,28,51,34,1018.9,1019.2,"1","February"
7.6,3.4,17,20,90,60,1020.6,1019.8,"0","February"
4.4,11,9,20,86,37,1019.6,1016.5,"0","February"
7.8,8.7,48,31,42,24,1014,1010.7,"0","February"
4.8,6.3,17,31,66,43,1013.2,1012.2,"1","February"
6.2,0.8,17,28,85,61,1015,1014.9,"0","March"
4.6,10.1,17,9,60,46,1015.8,1011.9,"0","March"
7.6,1,35,61,71,36,1009.4,1000.8,"1","March"
10,4.4,15,44,43,44,1012.6,1012.1,"1","March"
4.6,0.2,28,30,83,65,1016,1016.4,"1","March"
2.6,5.4,19,15,89,55,1016.5,1015.5,"0","March"
3.4,6.4,13,26,61,57,1016.6,1016.4,"0","March"
4.2,5,20,24,59,48,1021.5,1020.6,"0","March"
4.2,10.1,13,9,73,45,1021.5,1018.7,"0","March"
4,6.2,17,9,87,49,1021.1,1018.9,"0","March"
4.6,5.5,7,4,81,40,1021.4,1018.2,"1","March"
4.8,2.4,13,44,78,60,1019.2,1017.2,"1","March"
3.8,9.8,15,9,75,51,1016.8,1013.9,"0","March"
6.8,4.1,52,6,64,90,1008.1,1006.8,"1","March"
3.6,2.9,20,28,75,42,1011.6,1010.9,"0","March"
5.6,5,17,30,59,50,1012.1,1012.2,"0","March"
5,4.9,17,20,65,53,1017.9,1018,"0","March"
4,8.8,13,26,63,20,1017.8,1012.8,"0","March"
8,10.2,28,26,34,17,1013.9,1011,"0","March"
8.8,10.5,9,20,75,57,1015.9,1013.6,"0","March"
6.2,10.6,37,37,52,13,1013.5,1010.4,"0","March"
6,6.1,11,28,25,69,1010.3,1012.8,"1","March"
8,4.5,19,13,67,54,1017.1,1016.4,"0","March"
1,3.4,6,20,72,58,1017.7,1015.4,"1","March"
2.2,3.2,6,19,95,56,1016.5,1014.8,"0","March"
2.6,8.4,11,28,83,47,1019.4,1020.6,"0","March"
5.4,9.4,13,13,65,45,1027.2,1025.8,"0","March"
4,9.6,15,11,77,38,1024.4,1021.1,"0","March"
6.2,11.1,19,24,51,50,1022.5,1022,"0","March"
4.8,9.3,11,15,80,57,1026.3,1023.7,"0","March"
4.2,10.5,17,7,85,29,1023.7,1020.7,"0","March"
6.2,10.3,0,19,71,33,1022.6,1020.1,"0","April"
6.2,10.4,33,30,53,26,1021.4,1017.8,"0","April"
10.6,2.1,35,20,55,90,1015.3,1015.6,"1","April"
6.2,4.8,20,19,71,43,1022.8,1022.4,"0","April"
2.4,4.2,15,33,61,78,1020.3,1018.2,"0","April"
3.4,3.9,22,19,61,52,1025.8,1025.2,"1","April"
2.6,2.8,19,28,94,62,1030,1028.1,"1","April"
1.8,6.1,7,13,62,56,1028.4,1026,"0","April"
2.6,8.7,7,17,72,52,1023.9,1018.3,"0","April"
4,3.9,7,24,81,64,1020.1,1019.1,"0","April"
3.2,4.8,7,11,80,55,1024,1020.7,"0","April"
1.4,10.7,9,20,69,52,1022.8,1021.2,"0","April"
4,11,4,17,80,29,1022.7,1018.2,"0","April"
6,10.5,31,26,53,15,1013.9,1008.7,"1","April"
9,6.3,46,28,54,46,1007.1,1011.2,"0","April"
5.6,5.6,31,31,47,33,1013,1009.8,"0","April"
5,5.1,13,13,61,48,1017.8,1016.9,"0","April"
1.8,4.1,13,19,67,61,1023.5,1023.3,"0","April"
3,4.8,17,19,65,59,1026,1023.2,"0","April"
2.8,9.5,2,11,95,43,1024.2,1020.6,"0","April"
2.4,10.2,24,11,68,34,1024.4,1021.1,"0","April"
4,10.3,26,17,65,27,1024.7,1021.1,"0","April"
5.6,7.6,31,35,57,37,1019.5,1013.6,"0","April"
7.4,0,35,31,68,81,1002.8,998.5,"1","April"
1.8,3.9,24,41,70,55,1000.9,994.2,"1","April"
5.2,4.2,28,50,55,63,997.2,999,"1","April"
3,2.7,13,7,65,57,1011.5,1010.6,"1","April"
2.6,5.1,28,22,70,50,1020,1021,"1","April"
0.4,2.6,11,15,81,52,1024.2,1022.5,"0","April"
1.2,10.1,11,24,75,29,1023.8,1020.2,"0","April"
3.8,0.3,31,4,45,72,1023,1022.3,"0","May"
1.6,9.7,9,13,78,46,1027.9,1026,"0","May"
2.4,7.8,6,7,77,53,1029.3,1026.9,"0","May"
1.4,0.7,6,19,75,73,1030.6,1030,"0","May"
1.2,8.6,9,13,79,57,1032.4,1029.2,"0","May"
2.8,5.4,6,13,76,52,1029.4,1026.3,"0","May"
1.6,5.2,15,30,76,56,1027.7,1027.2,"0","May"
1.8,0.1,13,17,72,71,1030.8,1028.9,"1","May"
0.2,1.9,15,19,96,69,1028,1025.9,"0","May"
1.6,5.7,6,15,74,57,1026.5,1023.8,"0","May"
1,5.9,7,17,85,60,1025.4,1022.7,"0","May"
1.6,1.4,7,9,83,60,1023,1019.8,"0","May"
1.4,1.6,13,20,63,47,1016.7,1013.7,"0","May"
2,1.6,30,35,65,52,1012.1,1009.9,"0","May"
4,0,31,26,67,54,1009.1,1005.5,"0","May"
4,2.2,35,33,69,42,1011.9,1014,"0","May"
2.8,0.9,13,15,83,64,1021.5,1020.3,"0","May"
0.6,9.2,7,11,84,59,1025.3,1021.8,"0","May"
1,6.3,6,20,88,41,1022.7,1019.3,"0","May"
2.2,7.3,6,15,76,52,1022.8,1021.2,"0","May"
1.6,5.6,7,13,95,75,1025.6,1023.8,"0","May"
1.6,9.3,0,15,97,53,1025.2,1021.1,"0","May"
2,5,9,24,68,32,1021.1,1018,"0","May"
5.8,0,31,30,43,43,1022,1020.1,"0","May"
5.4,1.9,52,37,50,49,1019.1,1015.4,"1","May"
3,7.4,11,17,77,58,1021.6,1020,"0","May"
2,4.6,9,20,80,86,1022.8,1021.5,"0","May"
0.8,1.9,6,26,82,80,1025.1,1024.4,"1","May"
1.4,8.4,9,24,80,49,1028.5,1027,"0","May"
1.8,3.8,13,24,87,64,1032.1,1030.6,"0","May"
1.4,7.7,9,13,94,68,1034.7,1031.3,"0","May"
2.2,0,2,11,76,67,1031.1,1029.2,"0","June"
0.2,0,2,7,86,70,1029.1,1026.6,"1","June"
0.6,0,0,15,87,66,1022.8,1018.8,"1","June"
0.4,0.7,28,15,73,59,1018.8,1016.3,"0","June"
1.6,7.5,17,6,85,57,1017.9,1015.1,"0","June"
1,1.6,28,17,84,68,1013.4,1009.1,"0","June"
0.4,1.1,15,2,90,80,1005.5,1003.8,"1","June"
2,2.7,26,22,73,61,1006.5,1004.8,"1","June"
2.4,2.7,22,37,87,57,1006.9,1006,"1","June"
2.8,3.2,26,28,88,71,1019.2,1021,"1","June"
2,0.1,20,13,74,55,1025.6,1023,"0","June"
0.4,4.7,31,30,71,57,1022.6,1019.2,"0","June"
2.8,1.8,30,43,64,51,1013.6,1008.9,"0","June"
2,1.4,28,13,68,52,1009.9,1008.2,"0","June"
1.8,8.5,6,17,82,63,1014.3,1014.4,"0","June"
0.8,4.7,7,7,88,66,1023.8,1023.5,"0","June"
0.6,4.6,4,11,92,73,1029.3,1028,"0","June"
0.8,8.6,2,20,92,46,1030.7,1028.1,"0","June"
2,7.7,17,24,79,44,1029.7,1025.7,"0","June"
3.2,0.3,17,43,61,67,1022.2,1017.7,"0","June"
1.2,0,19,15,99,75,1019.3,1018,"1","June"
1.4,8.9,28,26,82,51,1019,1017,"0","June"
1.8,1.5,26,22,77,61,1017.5,1013.4,"1","June"
0.6,7.8,20,11,75,49,1014,1012.1,"0","June"
2.6,3.8,15,6,84,67,1013.7,1010,"0","June"
1.4,7.8,31,26,81,57,1009.3,1006.8,"0","June"
1.6,1.1,0,2,82,70,1008.3,1006.1,"0","June"
1.8,6.5,15,22,89,59,1006.6,1004,"0","June"
1.6,7,31,33,76,60,1006.4,1005.2,"0","June"
4,4.8,50,52,61,50,999,989.9,"1","June"
4.2,6.9,35,39,67,47,998.7,998.1,"0","July"
2.6,0.2,20,19,68,65,1005.2,1002.4,"1","July"
1,3.2,30,24,84,77,1009.2,1011.8,"1","July"
0.8,2.4,20,35,83,65,1016.2,1015.1,"0","July"
1.8,3.2,17,19,80,77,1021.8,1021.1,"0","July"
2,4.9,24,20,76,69,1022.2,1021.5,"0","July"
0.4,9.1,6,9,75,47,1026.5,1024.3,"0","July"
1.6,8.8,11,22,79,42,1029,1027.2,"0","July"
2.2,8.3,13,19,74,45,1030.3,1027.1,"0","July"
2.4,0.7,20,31,72,55,1025.5,1020.5,"1","July"
3.8,1.1,50,57,56,56,1012.9,1008.6,"0","July"
0.8,2.6,28,30,77,51,1005.1,1002.6,"0","July"
3.6,3.8,22,24,76,60,1003.8,1001.7,"0","July"
1.2,2,24,15,76,57,1004.3,1003.5,"0","July"
2.4,2.6,15,7,78,49,1010.3,1010.4,"0","July"
0.6,6.6,9,19,72,63,1017.2,1017.1,"0","July"
1,7.2,9,2,85,55,1022.7,1020.4,"0","July"
1.4,5.4,28,41,72,58,1019.2,1014.9,"0","July"
3,9.1,31,39,68,57,1016.6,1014.9,"0","July"
5.8,8.6,48,46,48,31,1015.8,1011.4,"0","July"
8,6.1,50,54,36,28,1012.9,1007,"0","July"
4,2.8,33,35,56,82,1003.8,1002.4,"1","July"
3.4,6,20,13,82,51,1017.8,1020.8,"0","July"
1.8,6.1,22,22,77,43,1024.9,1022.4,"0","July"
3.4,5.6,43,28,57,49,1022.9,1020,"0","July"
4,7.2,33,19,66,39,1015.4,1012.2,"0","July"
2.8,5.1,30,28,64,68,1015.8,1015.7,"0","July"
2.8,7.2,20,28,72,58,1021.6,1020.3,"0","July"
1.2,4.4,13,20,71,52,1024,1023.1,"0","July"
2.2,3.9,20,20,73,52,1023,1019,"1","July"
3.4,6.5,17,24,74,46,1020.8,1020.1,"0","July"
1.6,3.8,17,24,64,53,1023.9,1022.7,"0","August"
2.4,3.4,28,30,69,46,1024.4,1020.1,"1","August"
3.6,7.1,20,13,65,35,1022.4,1021.9,"0","August"
3.8,2.5,35,24,58,62,1017.7,1015.6,"1","August"
1.4,7.2,28,19,75,55,1019.5,1016.6,"0","August"
4.4,1.1,50,44,50,45,1014.1,1009.4,"0","August"
4.6,7.9,35,31,65,41,1012.3,1018.3,"0","August"
3.8,9.7,24,22,67,29,1024.8,1020.8,"0","August"
4.8,3.8,37,35,54,39,1018.9,1016.3,"0","August"
3.2,0,13,17,68,50,1017.7,1012.5,"0","August"
1.2,2.7,7,7,80,59,1009.3,1008.3,"1","August"
0.6,0.8,11,17,89,83,1011.6,1010.4,"0","August"
0.6,7.6,17,11,81,61,1014.6,1013.3,"0","August"
1.8,9.7,13,20,71,39,1019.9,1016.7,"0","August"
4,6.5,61,59,58,46,1015,1010.3,"0","August"
7.4,5.6,50,28,49,49,1001,1001.5,"1","August"
4,8.4,28,26,58,26,1015.2,1018,"0","August"
3.8,7.9,19,22,68,50,1027.3,1024.9,"0","August"
2.6,7.8,31,37,59,40,1024.3,1019.5,"1","August"
6,6.3,22,43,84,43,1018,1010.8,"0","August"
3.4,7.3,39,43,61,40,994.5,999,"0","August"
4.4,10,24,37,62,36,1008.7,1005.8,"0","August"
4,10.6,35,46,69,49,1007.1,1002.3,"0","August"
5.6,8.8,43,41,77,33,999.5,996.2,"1","August"
6.8,7.6,24,43,55,45,1004.5,999.1,"1","August"
6.4,5.8,39,30,65,45,1009.5,1007.7,"0","August"
4.6,7.8,31,33,62,38,1012.1,1009.1,"0","August"
4.8,8.6,31,26,66,45,1012.7,1009.5,"0","August"
6,0.5,43,19,70,63,997.7,996.9,"1","August"
1.6,6.6,28,37,57,43,1011.8,1011.7,"0","August"
2.8,3.6,30,30,62,73,1014.2,1013.5,"1","August"
2.2,8.3,15,19,49,32,1021.8,1020.5,"0","September"
5.8,10.8,41,33,53,32,1021.4,1017.3,"0","September"
7.2,8.8,43,50,31,44,1010.6,1006.9,"1","September"
5.4,6.5,26,24,59,55,1010.9,1009.8,"1","September"
3.6,9.1,28,22,65,31,1016.1,1014.6,"0","September"
4.2,1.2,31,43,53,36,1013.7,1007.9,"0","September"
2.8,3,19,13,70,64,1003.8,1003.4,"1","September"
1,4.8,28,35,82,80,1011.9,1012.2,"0","September"
2.6,0.8,28,28,71,57,1014.5,1013.6,"0","September"
3.2,2.8,19,11,57,48,1018,1017.6,"0","September"
5.2,9.1,57,76,53,34,1016.5,1010.5,"0","September"
9.8,6,43,46,47,38,1012.9,1006.2,"0","September"
5,2.2,2,30,70,43,1012.8,1010.7,"0","September"
5,6.4,17,17,55,39,1023,1021.2,"0","September"
3.4,10.8,19,20,50,29,1020.9,1017.7,"0","September"
5.8,8.5,33,31,38,22,1020.5,1013.6,"0","September"
8.4,0,31,26,36,88,1008.8,1008.2,"1","September"
4,10.2,9,6,57,44,1023.1,1019,"0","September"
4,6.8,48,39,33,46,1013.9,1011.6,"1","September"
4,6.3,13,28,65,30,1015.2,1013.5,"0","September"
4,7.6,4,22,60,37,1014.2,1006.3,"1","September"
6,5.5,13,30,68,52,997,995.5,"0","September"
